School_Name,City,County_Name,School_Enrollment
WALLACE ACCELERATED H S,Colorado City,NOLAN COUNTY,0
BISHOP H S,Bishop,NUECES COUNTY,548
CALALLEN H S,Corpus Christi,NUECES COUNTY,1231
CARROLL H S,Corpus Christi,NUECES COUNTY,1426
KING H S,Corpus Christi,NUECES COUNTY,1566
MOODY H S,Corpus Christi,NUECES COUNTY,1530
RAY H S,Corpus Christi,NUECES COUNTY,1812
COLLEGIATE H S,Corpus Christi,NUECES COUNTY,417
HAROLD T BRANCH ACADEMY FOR CAREER & TECHNICAL ED,Corpus Christi,NUECES COUNTY,281
VETERANS MEMORIAL H S,Corpus Christi,NUECES COUNTY,2096
LONDON H S,Corpus Christi,NUECES COUNTY,402
PORT ARANSAS H S,Port Aransas,NUECES COUNTY,191
ROBSTOWN EARLY COLLEGE H S,Robstown,NUECES COUNTY,697
SALAZAR CROSSROADS ACADEMY,Robstown,NUECES COUNTY,27
TULOSO-MIDWAY H S,Corpus Christi,NUECES COUNTY,1100
TULOSO-MIDWAY ACADEMIC CAREER CENTER,Corpus Christi,NUECES COUNTY,33
BANQUETE H S,Banquete,NUECES COUNTY,272
FLOUR BLUFF H S,Corpus Christi,NUECES COUNTY,1876
WEST OSO H S,Corpus Christi,NUECES COUNTY,586
PERRYTON H S,Perryton,OCHILTREE COUNTY,642
LUDI PENA MARTIN ACCELERATED EDUCATION CENTER,Perryton,OCHILTREE COUNTY,19
BOYS RANCH H S,Vega,OLDHAM COUNTY,133
VEGA H S,Vega,OLDHAM COUNTY,123
BRIDGE CITY H S,Bridge City,ORANGE COUNTY,837
ORANGEFIELD H S,Orange,ORANGE COUNTY,519
WEST ORANGE-STARK H S,Orange,ORANGE COUNTY,651
VIDOR H S,Vidor,ORANGE COUNTY,1213
LIT CYPR-MRCEVILLE H S,Orange,ORANGE COUNTY,990
MINERAL WELLS H S,Mineral Wells,PALO PINTO COUNTY,823
CARTHAGE H S,Carthage,PANOLA COUNTY,802
POOLVILLE H S,Poolville,PARKER COUNTY,144
SPRINGTOWN H S,Springtown,PARKER COUNTY,1089
WEATHERFORD H S,Weatherford,PARKER COUNTY,2399
MILLSAP H S,Millsap,PARKER COUNTY,318
ALEDO H S,Aledo,PARKER COUNTY,1428
PEASTER H S,Weatherford,PARKER COUNTY,401
BROCK H S,Weatherford,PARKER COUNTY,479
BOVINA H S,Bovina,PARMER COUNTY,132
FARWELL H S,Farwell,PARMER COUNTY,177
FRIONA H S,Friona,PARMER COUNTY,273
FORT STOCKTON HIGH,Fort Stockton,PECOS COUNTY,691
IRAAN H S,Iraan,PECOS COUNTY,69
GOODRICH H S,Goodrich,POLK COUNTY,66
CORRIGAN-CAMDEN H S,Corrigan,POLK COUNTY,224
LIVINGSTON H S,Livingston,POLK COUNTY,1042
LIVINGSTON H S ACADEMY,Livingston,POLK COUNTY,26
AMARILLO H S,Amarillo,POTTER COUNTY,2164
CAPROCK H S,Amarillo,POTTER COUNTY,2256
AMTECH CAREER ACADEMY,Amarillo,POTTER COUNTY,10
PALO DURO H S,Amarillo,POTTER COUNTY,1915
TASCOSA H S,Amarillo,POTTER COUNTY,2198
NORTH HEIGHTS ALTER,Amarillo,POTTER COUNTY,162
RIVER ROAD H S,Amarillo,POTTER COUNTY,406
HIGHLAND PARK H S,Amarillo,POTTER COUNTY,243
BUSHLAND H S,Amarillo,POTTER COUNTY,481
PRESIDIO H S,Presidio,PRESIDIO COUNTY,379
RAINS H S,Emory,RAINS COUNTY,489
CANYON H S,Canyon,RANDALL COUNTY,1157
RANDALL H S,Amarillo,RANDALL COUNTY,1736
REAGAN COUNTY H S,Big Lake,REAGAN COUNTY,250
RIVERCREST H S,Bogata,RED RIVER COUNTY,183
DETROIT H S,Detroit,RED RIVER COUNTY,130
PECOS H S,Pecos,REEVES COUNTY,702
REFUGIO H S,Refugio,REFUGIO COUNTY,202
BREMOND H S,Bremond,ROBERTSON COUNTY,134
FRANKLIN H S,Franklin,ROBERTSON COUNTY,362
HEARNE H S,Hearne,ROBERTSON COUNTY,226
ROCKWALL H S,Rockwall,ROCKWALL COUNTY,2847
ROCKWALL-HEATH H S,Rockwall,ROCKWALL COUNTY,2626
ROYSE CITY H S,Royse City,ROCKWALL COUNTY,2048
BALLINGER H S,Ballinger,RUNNELS COUNTY,270
WINTERS H S,Winters,RUNNELS COUNTY,167
HENDERSON H S,Henderson,RUSK COUNTY,971
LEVERETTS CHAPEL H S,Overton,RUSK COUNTY,63
TATUM H S,Tatum,RUSK COUNTY,484
WEST RUSK H S,Overton,RUSK COUNTY,318
HEMPHILL H S,Hemphill,SABINE COUNTY,263
COLDSPRING-OAKHURST H S,Coldspring,SAN JACINTO COUNTY,459
SHEPHERD H S,Shepherd,SAN JACINTO COUNTY,539
ARANSAS PASS H S,Aransas Pass,SAN PATRICIO COUNTY,505
GREGORY-PORTLAND H S,Portland,SAN PATRICIO COUNTY,1395
INGLESIDE H S,Ingleside,SAN PATRICIO COUNTY,633
MATHIS H S,Mathis,SAN PATRICIO COUNTY,445
ODEM H S,Odem,SAN PATRICIO COUNTY,271
SINTON H S,Sinton,SAN PATRICIO COUNTY,621
TAFT H S,Taft,SAN PATRICIO COUNTY,279
SAN SABA H S,San Saba,SAN SABA COUNTY,187
ELDORADO H S,Eldorado,SCHLEICHER COUNTY,153
SNYDER ACADEMY,Hermleigh,SCURRY COUNTY,0
SNYDER H S,Snyder,SCURRY COUNTY,757
CENTER H S,Center,SHELBY COUNTY,677
JOAQUIN H S,Joaquin,SHELBY COUNTY,184
STRATFORD H S,Stratford,SHERMAN COUNTY,167
CUMBERLAND H S,Tyler,SMITH COUNTY,665
ARP H S,Arp,SMITH COUNTY,252
BULLARD H S,Bullard,SMITH COUNTY,796
LINDALE H S,Lindale,SMITH COUNTY,1207
TROUP H S,Troup,SMITH COUNTY,301
TYLER LEGACY H S,Tyler,SMITH COUNTY,2351
TYLER H S,Tyler,SMITH COUNTY,2073
TYLER ISD EARLY COLLEGE H S,Tyler,SMITH COUNTY,379
ALVIN V ANDERSON RISE ACADEMY,Tyler,SMITH COUNTY,93
WHITEHOUSE H S,Whitehouse,SMITH COUNTY,1535
CHAPEL HILL H S,Tyler,SMITH COUNTY,1077
WINONA H S,Winona,SMITH COUNTY,293
GLEN ROSE H S,Glen Rose,SOMERVELL COUNTY,572
RIO GRANDE CITY H S,Rio Grande City,STARR COUNTY,1824
RIO GRANDE CITY CISD GRULLA H S,Rio Grande City,STARR COUNTY,789
PREPARATORY FOR EARLY COLLEGE H S,Rio Grande City,STARR COUNTY,509
SAN ISIDRO H S,San Isidro,STARR COUNTY,70
ROMA H S,Roma,STARR COUNTY,1849
BRECKENRIDGE H S,Breckenridge,STEPHENS COUNTY,430
TULIA H S,Tulia,SWISHER COUNTY,280
ARLINGTON H S,Arlington,TARRANT COUNTY,2674
SAM HOUSTON H S,Arlington,TARRANT COUNTY,3625
LAMAR H S,Arlington,TARRANT COUNTY,2615
BOWIE H S,Arlington,TARRANT COUNTY,2433
MARTIN H S,Arlington,TARRANT COUNTY,3675
SEGUIN H S,Arlington,TARRANT COUNTY,1637
ARLINGTON COLLEGIATE H S,Arlington,TARRANT COUNTY,405
ARLINGTON COLLEGE AND CAREER H S,Arlington,TARRANT COUNTY,224
HALTOM H S,Fort Worth,TARRANT COUNTY,2834
RICHLAND H S,North Richland Hills,TARRANT COUNTY,2189
BIRDVILLE H S,North Richland Hills,TARRANT COUNTY,2060
SHANNON H S,Haltom City,TARRANT COUNTY,110
EVERMAN H S,Fort Worth,TARRANT COUNTY,1774
EVERMAN ACADEMY H S,Fort Worth,TARRANT COUNTY,53
CARTER-RIVERSIDE H S,Fort Worth,TARRANT COUNTY,1056
ARLINGTON HEIGHTS H S,Fort Worth,TARRANT COUNTY,1993
SOUTH HILLS H S,Fort Worth,TARRANT COUNTY,1858
DIAMOND HILL-JARVIS H S,Fort Worth,TARRANT COUNTY,1082
DUNBAR H S,Fort Worth,TARRANT COUNTY,923
EASTERN HILLS H S,Fort Worth,TARRANT COUNTY,1068
NORTH SIDE H S,Fort Worth,TARRANT COUNTY,1878
POLYTECHNIC H S,Fort Worth,TARRANT COUNTY,1338
PASCHAL H S,Fort Worth,TARRANT COUNTY,2302
TRIMBLE TECHNICAL H S,Fort Worth,TARRANT COUNTY,1703
SOUTHWEST H S,Fort Worth,TARRANT COUNTY,1382
WESTERN HILLS H S,Fort Worth,TARRANT COUNTY,923
O D WYATT H S,Fort Worth,TARRANT COUNTY,1521
SUCCESS H S,Fort Worth,TARRANT COUNTY,184
TRANSITION CTR,Fort Worth,TARRANT COUNTY,92
TEXAS ACADEMY OF BIOMEDICAL,Fort Worth,TARRANT COUNTY,364
MARINE CREEK COLLEGIATE H S,Fort Worth,TARRANT COUNTY,380
TARRANT CO COLLEGE SOUTH/FORT WORTH COLLEGIATE H S,Fort Worth,TARRANT COUNTY,357
IM TERRELL ACADEMY FOR STEM AND VPA,Fort Worth,TARRANT COUNTY,395
GRAPEVINE H S,Grapevine,TARRANT COUNTY,1915
COLLEYVILLE HERITAGE H S,Colleyville,TARRANT COUNTY,1879
THE BRIDGES ACAD ALTER,Colleyville,TARRANT COUNTY,77
GRAPEVINE-COLLEYVILLE COLLEGIATE ACADEMY AT TCC NE,Hurst,TARRANT COUNTY,364
KELLER H S,Keller,TARRANT COUNTY,3173
FOSSIL RIDGE H S,Keller,TARRANT COUNTY,2338
CENTRAL H S,Keller,TARRANT COUNTY,2595
TIMBER CREEK H S,Keller,TARRANT COUNTY,3238
KELLER LEARNING CENTER,Keller,TARRANT COUNTY,86
MANSFIELD SUMMIT H S,Arlington,TARRANT COUNTY,1999
MANSFIELD H S,Mansfield,TARRANT COUNTY,2527
MANSFIELD TIMBERVIEW H S,Arlington,TARRANT COUNTY,1890
MANSFIELD LEGACY H S,Mansfield,TARRANT COUNTY,2378
THE PHOENIX ACADEMY,Mansfield,TARRANT COUNTY,83
MANSFIELD LAKE RIDGE H S,Mansfield,TARRANT COUNTY,2622
TCCSE EARLY COLLEGE H S AT TIMBERVIEW,Arlington,TARRANT COUNTY,286
LAKE WORTH H S,Fort Worth,TARRANT COUNTY,959
CROWLEY H S,Crowley,TARRANT COUNTY,2211
NORTH CROWLEY H S,Fort Worth,TARRANT COUNTY,2744
KENNEDALE H S,Kennedale,TARRANT COUNTY,988
AZLE H S,Azle,TARRANT COUNTY,1965
AZLE HORNET ACADEMY,Azle,TARRANT COUNTY,47
KEYS H S,Euless,TARRANT COUNTY,80
CASTLEBERRY H S,Fort Worth,TARRANT COUNTY,987
REACH H S,Fort Worth,TARRANT COUNTY,31
BOSWELL H S,Fort Worth,TARRANT COUNTY,2265
ELMER C WATSON H S,Fort Worth,TARRANT COUNTY,98
SAGINAW H S,Fort Worth,TARRANT COUNTY,2001
CHISHOLM TRAIL H S,Fort Worth,TARRANT COUNTY,2288
BREWER H S,Fort Worth,TARRANT COUNTY,2115
ISCHOOL HIGH AT THE WOODLANDS,Conroe,TAYLOR COUNTY,308
ABILENE H S,Abilene,TAYLOR COUNTY,2141
COOPER H S,Abilene,TAYLOR COUNTY,1799
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Abilene,TAYLOR COUNTY,343
MERKEL H S,Merkel,TAYLOR COUNTY,317
JIM NED H S,Tuscola,TAYLOR COUNTY,401
WYLIE H S,Abilene,TAYLOR COUNTY,1313
BROWNFIELD H S,Brownfield,TERRY COUNTY,437
BROWNFIELD EDUCATION CENTER,Brownfield,TERRY COUNTY,27
MOUNT PLEASANT H S,Mount Pleasant,TITUS COUNTY,1570
CHAPEL HILL H S,Mount Pleasant,TITUS COUNTY,329
CENTRAL H S,San Angelo,TOM GREEN COUNTY,3187
LAKE VIEW H S,San Angelo,TOM GREEN COUNTY,1058
FAIRVIEW AEP,San Angelo,TOM GREEN COUNTY,0
WALL H S,Wall,TOM GREEN COUNTY,347
GRAPE CREEK H S,San Angelo,TOM GREEN COUNTY,298
UNIVERSITY OF TEXAS AT AUSTIN H S,Austin,TRAVIS COUNTY,274
THE UNIVERSITY OF TEXAS AT AUSTIN INTERNATIONAL H S,Austin,TRAVIS COUNTY,0
UNIVERSITY H S,Austin,TRAVIS COUNTY,15
CEDARS ACADEMY NEXT GENERATION H S AT HIGHLAND,Austin,TRAVIS COUNTY,116
KIPP AUSTIN COLLEGIATE,Austin,TRAVIS COUNTY,756
KIPP AUSTIN BRAVE,Austin,TRAVIS COUNTY,703
KIPP HOUSTON H S,Houston,TRAVIS COUNTY,692
KIPP GENERATIONS COLLEGIATE,Houston,TRAVIS COUNTY,587
KIPP NORTHEAST COLLEGE PREPARATORY,Houston,TRAVIS COUNTY,555
KIPP SUNNYSIDE H S,Houston,TRAVIS COUNTY,591
KIPP CONNECT H S,Houston,TRAVIS COUNTY,458
KIPP EAST END H S,Houston,TRAVIS COUNTY,166
KIPP UNIVERSITY PREP H S,San Antonio,TRAVIS COUNTY,803
KIPP SOMOS H S,San Antonio,TRAVIS COUNTY,233
KIPP OAK CLIFF ACADEMY,Dallas,TRAVIS COUNTY,280
AUSTIN ACHIEVE H S,Austin,TRAVIS COUNTY,584
THE EXCEL CENTER FOR ADULTS - LOCKHART,Lockhart,TRAVIS COUNTY,102
THE EXCEL CENTER FOR ADULTS - SOUTH AUSTIN,Austin,TRAVIS COUNTY,82
BILLY MOORE,Overton,TRAVIS COUNTY,100
BRADSHAW,Henderson,TRAVIS COUNTY,0
THE EXCEL CENTER FOR ADULTS AYW,Austin,TRAVIS COUNTY,56
DIBOLL,Diboll,TRAVIS COUNTY,0
LEARN4LIFE-AUSTIN,Austin,TRAVIS COUNTY,0
AUSTIN H S,Austin,TRAVIS COUNTY,2349
NAVARRO EARLY COLLEGE H S,Austin,TRAVIS COUNTY,1570
MCCALLUM H S,Austin,TRAVIS COUNTY,1835
NORTHEAST EARLY COLLEGE H S,Austin,TRAVIS COUNTY,1087
TRAVIS EARLY COLLEGE H S,Austin,TRAVIS COUNTY,1243
CROCKETT ECHS,Austin,TRAVIS COUNTY,1554
ANDERSON H S,Austin,TRAVIS COUNTY,2241
BOWIE H S,Austin,TRAVIS COUNTY,2886
LBJ ECHS,Austin,TRAVIS COUNTY,833
GARZA INDEPENDENCE H S,Austin,TRAVIS COUNTY,183
AKINS H S,Austin,TRAVIS COUNTY,2810
LASA H S,Austin,TRAVIS COUNTY,1254
EASTSIDE MEMORIAL ECHS,Austin,TRAVIS COUNTY,480
GRADUATION PREPARATORY ACADEMY,Austin,TRAVIS COUNTY,57
GRADUATION PREP ACADEMY NAVARRO,Austin,TRAVIS COUNTY,91
INTERNATIONAL H S,Austin,TRAVIS COUNTY,246
PFLUGERVILLE H S,Pflugerville,TRAVIS COUNTY,1949
JOHN B CONNALLY H S,Austin,TRAVIS COUNTY,1761
HENDRICKSON H S,Pflugerville,TRAVIS COUNTY,2133
WEISS H S,Pflugerville,TRAVIS COUNTY,2171
MANOR H S,Manor,TRAVIS COUNTY,2189
MANOR EXCEL ACADEMY,Manor,TRAVIS COUNTY,98
MANOR NEW TECHNOLOGY HIGH,Manor,TRAVIS COUNTY,589
WESTLAKE ALTER,Austin,TRAVIS COUNTY,0
DEL VALLE H S,Del Valle,TRAVIS COUNTY,3310
LAGO VISTA H S,Leander,TRAVIS COUNTY,560
TRAVIS COUNTY JJAEP,Austin,TRAVIS COUNTY,0
LAKE TRAVIS H S,Austin,TRAVIS COUNTY,3558
TRINITY H S,Trinity,TRINITY COUNTY,364
WOODVILLE H S,Woodville,TYLER COUNTY,369
WARREN H S,Warren,TYLER COUNTY,350
BIG SANDY H S,Big Sandy,UPSHUR COUNTY,178
GILMER H S,Gilmer,UPSHUR COUNTY,728
ORE CITY H S,Ore City,UPSHUR COUNTY,280
HARMONY H S,Big Sandy,UPSHUR COUNTY,308
NEW DIANA H S,Diana,UPSHUR COUNTY,311
UNION GROVE H S,Gladewater,UPSHUR COUNTY,226
MCCAMEY H S,Mc Camey,UPTON COUNTY,138
SABINAL H S,Sabinal,UVALDE COUNTY,135
UVALDE H S,Uvalde,UVALDE COUNTY,1177
CROSSROADS ACADEMY,Uvalde,UVALDE COUNTY,39
DEL RIO H S,Del Rio,VAL VERDE COUNTY,2467
DEL RIO EARLY COLLEGE H S,Del Rio,VAL VERDE COUNTY,472
CANTON H S,Canton,VAN ZANDT COUNTY,627
EDGEWOOD H S,Edgewood,VAN ZANDT COUNTY,311
GRAND SALINE H S,Grand Saline,VAN ZANDT COUNTY,305
VAN H S,Van,VAN ZANDT COUNTY,730
WILLS POINT H S,Wills Point,VAN ZANDT COUNTY,732
FRUITVALE H S,Fruitvale,VAN ZANDT COUNTY,117
BLOOMINGTON H S,Victoria,VICTORIA COUNTY,219
CROSSROADS CONNECT ACADEMY,Victoria,VICTORIA COUNTY,26
LIBERTY CREDIT RECOVERY,Victoria,VICTORIA COUNTY,283
VICTORIA EAST H S,Victoria,VICTORIA COUNTY,1879
VICTORIA WEST H S,Victoria,VICTORIA COUNTY,1718
THOMAS BUZBEE VOCATIONAL SCHOOL,New Waverly,WALKER COUNTY,39
NEW WAVERLY H S,New Waverly,WALKER COUNTY,298
HUNTSVILLE H S,Huntsville,WALKER COUNTY,1734
TEXAS ONLINE PREPARATORY H S,Huntsville,WALKER COUNTY,1934
MATTHEW GAINES H S,Midway,WALKER COUNTY,0
HEMPSTEAD H S,Hempstead,WALLER COUNTY,396
HEMPSTEAD ALTERNATIVE LEARNING CENTER,Hempstead,WALLER COUNTY,7
ROYAL H S,Brookshire,WALLER COUNTY,691
MONAHANS H S,Monahans,WARD COUNTY,582
MONAHANS ED CTR,Monahans,WARD COUNTY,11
BRENHAM H S,Brenham,WASHINGTON COUNTY,1552
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO NORTH,Laredo,WEBB COUNTY,130
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO SOUTH,Laredo,WEBB COUNTY,112
MARTIN H S,Laredo,WEBB COUNTY,2052
NIXON H S,Laredo,WEBB COUNTY,2233
DR LEO CIGARROA H S,Laredo,WEBB COUNTY,1593
HECTOR J GARCIA EARLY COLLEGE H S,Laredo,WEBB COUNTY,426
UNITED H S,Laredo,WEBB COUNTY,3981
UNITED SOUTH H S,Laredo,WEBB COUNTY,3254
JOHN B ALEXANDER H S,Laredo,WEBB COUNTY,2956
LYNDON B JOHNSON,Laredo,WEBB COUNTY,3217
BRUNI H S,Bruni,WEBB COUNTY,83
BOLING H S,Boling,WHARTON COUNTY,355
EAST BERNARD H S,East Bernard,WHARTON COUNTY,308
EL CAMPO H S,El Campo,WHARTON COUNTY,1141
WHARTON H S,Wharton,WHARTON COUNTY,583
LOUISE H S,Louise,WHARTON COUNTY,137
SHAMROCK H S,Shamrock,WHEELER COUNTY,119
BURKBURNETT H S,Burkburnett,WICHITA COUNTY,850
GATEWAY STUDENT SUPPORT CTR,Burkburnett,WICHITA COUNTY,52
IOWA PARK H S,Iowa Park,WICHITA COUNTY,550
HIRSCHI H S,Wichita Falls,WICHITA COUNTY,859
RIDER H S,Wichita Falls,WICHITA COUNTY,1594
WICHITA FALLS H S,Wichita Falls,WICHITA COUNTY,1286
CAREER EDUCATION CENTER,Wichita Falls,WICHITA COUNTY,0
VERNON H S,Vernon,WILBARGER COUNTY,597
VERNON ISD OPPORTUNITY CENTER,Vernon,WILBARGER COUNTY,0
LASARA H S,Raymondville,WILLACY COUNTY,89
LYFORD H S,Lyford,WILLACY COUNTY,477
RAYMONDVILLE H S,Raymondville,WILLACY COUNTY,549
SAN PERLITA H S,San Perlita,WILLACY COUNTY,79
FLORENCE H S,Florence,WILLIAMSON COUNTY,350
GEORGETOWN H S,Georgetown,WILLIAMSON COUNTY,1956
CHIP RICHARTE H S,Georgetown,WILLIAMSON COUNTY,73
EAST VIEW H S,Georgetown,WILLIAMSON COUNTY,1887
JARRELL H S,Jarrell,WILLIAMSON COUNTY,615
LIBERTY HILL H S,Liberty Hill,WILLIAMSON COUNTY,1497
ROUND ROCK H S,Round Rock,WILLIAMSON COUNTY,3731
WESTWOOD H S,Austin,WILLIAMSON COUNTY,2852
MCNEIL H S,Austin,WILLIAMSON COUNTY,2631
STONY POINT H S,Round Rock,WILLIAMSON COUNTY,2636
CEDAR RIDGE H S,Round Rock,WILLIAMSON COUNTY,2837
NEW 6TH H S - PEARSON RANCH,Round Rock,WILLIAMSON COUNTY,0
SUCCESS H S,Round Rock,WILLIAMSON COUNTY,336
7TH H S - NORTHEAST,Round Rock,WILLIAMSON COUNTY,0
RRISD EARLY COLLEGE H S,Round Rock,WILLIAMSON COUNTY,359
TAYLOR H S,Taylor,WILLIAMSON COUNTY,821
LEGACY EARLY COLLEGE H S,Taylor,WILLIAMSON COUNTY,186
THRALL H S,Thrall,WILLIAMSON COUNTY,241
LEANDER H S,Leander,WILLIAMSON COUNTY,2210
CEDAR PARK H S,Cedar Park,WILLIAMSON COUNTY,2040
VISTA RIDGE H S,Cedar Park,WILLIAMSON COUNTY,2514
ROUSE H S,Leander,WILLIAMSON COUNTY,1824
VANDEGRIFT H S,Austin,WILLIAMSON COUNTY,2811
GLENN H S,Leander,WILLIAMSON COUNTY,1825
NEW HOPE H S,Leander,WILLIAMSON COUNTY,71
FLORESVILLE H S,Floresville,WILSON COUNTY,1263
LA VERNIA H S,La Vernia,WILSON COUNTY,989
POTH H S,Poth,WILSON COUNTY,216
STOCKDALE H S,Stockdale,WILSON COUNTY,231
KERMIT H S,Kermit,WINKLER COUNTY,362
ALVORD H S,Alvord,WISE COUNTY,216
BOYD H S,Boyd,WISE COUNTY,405
BRIDGEPORT H S,Bridgeport,WISE COUNTY,609
CHICO H S,Chico,WISE COUNTY,164
DECATUR H S,Decatur,WISE COUNTY,1033
PARADISE H S,Paradise,WISE COUNTY,358
MINEOLA H S,Mineola,WOOD COUNTY,487
QUITMAN H S,Quitman,WOOD COUNTY,333
WINNSBORO H S,Winnsboro,WOOD COUNTY,466
DENVER CITY H S,Denver City,YOAKUM COUNTY,494
PLAINS H S,Plains,YOAKUM COUNTY,135
GRAHAM H S,Graham,YOUNG COUNTY,655
GRAHAM LEARNING CTR,Graham,YOUNG COUNTY,10
OLNEY H S,Olney,YOUNG COUNTY,200
ZAPATA H S,Zapata,ZAPATA COUNTY,981
CRYSTAL CITY H S,Crystal City,ZAVALA COUNTY,538
